YBL067C	YOL087C
YEL062W	YJR138W
YGL100W	YBL104C
YOL087C	YER098W
YBL104C	YOL138C
YDL126C	YDR049W
YJL141C	YPL247C
YDR190C	YEL044W
YNL059C	YEL044W
YPL235W	YEL044W
YGR207C	YPR004C
YCR046C	YNL122C
YHR165C	YDR482C
YOL138C	YDR128W
YKL173W	YDR482C
YCR063W	YDR482C
YMR213W	YPL064C
YMR247C	YPL009C
YGR099W	YKL033W
YER007C-A	YJR014W
YKL019W	YGL155W
YKR063C	YLL035W
YHR122W	YIL128W
YBL027W	YLR009W
YDL136W	YLR009W
YDL191W	YLR009W
YFR031C-A	YLR009W
YER056C-A	YLR009W
YGL076C	YLR009W
YLR009W	YGL135W
YLR009W	YIL018W
YJR104C	YMR038C
YHR186C	YCR027C
YDR373W	YNL267W
YKL053C-A	YLR193C
YDL136W	YDR101C
YDR101C	YFR031C-A
YDR101C	YIL018W
YDR101C	YBR031W
YMR138W	YOR349W
YBR229C	YDR221W
YER048W-A	YKL192C
YBR146W	YDR036C
YBR251W	YDR036C
YDR337W	YDR036C
YGL129C	YDR036C
YBL027W	YPR016C
YPR016C	YDL136W
YPR016C	YDL191W
YPR016C	YER056C-A
YPR016C	YFR031C-A
YPR016C	YGL076C
YPR016C	YIL018W
YPR016C	YKL180W
YPR016C	YLR185W
YPR016C	YGL135W
YOR310C	YHR203C
YOR310C	YJR145C
YBR247C	YHR203C
YBR247C	YJR145C
YDR267C	YHR122W
YDL064W	YMR235C
YDL064W	YGL016W
YGL206C	YDR320C
YLR167W	YKL210W
YLR167W	YLL039C
YMR235C	YDR510W
YDR510W	YLR335W
YAL003W	YPL048W
YDL042C	YFR028C
YDR267C	YIL128W
YHR034C	YDR190C
YDL160C	YPR129W
YOR297C	YKL141W
YOL111C	YOR007C
YHL015W	YDR429C
YNL178W	YMR260C
YHL015W	YMR260C
YOR369C	YMR260C
YJR123W	YMR260C
YOL040C	YMR260C
YAL035W	YFR031C-A
YAL035W	YHL015W
YAL035W	YOR369C
YAL035W	YLR167W
YAL035W	YJR123W
YAL035W	YOL040C
YAL035W	YGR118W
YAL035W	YBR181C
YAL035W	YPL090C
YAL035W	YPR132W
YHL015W	YMR116C
YOR369C	YMR116C
YLR167W	YMR116C
YMR116C	YBR181C
YMR116C	YDL061C
YMR116C	YDR447C
YMR116C	YDR450W
YMR116C	YER131W
YMR116C	YGL189C
YMR116C	YGR027C
YMR116C	YJL190C
YMR116C	YKL156W
YMR116C	YKR057W
YMR116C	YLR264W
YMR116C	YLR287C-A
YMR116C	YLR333C
YMR116C	YLR388W
YMR116C	YML026C
YMR116C	YOL121C
YMR116C	YOR167C
YMR116C	YMR143W
YMR116C	YOR182C
YMR116C	YOR293W
YMR116C	YOR096W
YMR116C	YNL302C
YMR116C	YPL090C
YMR116C	YOL040C
YMR116C	YMR230W
YAL035W	YNL178W
YNL178W	YMR116C
YAL035W	YMR116C
YMR116C	YCR031C
YMR116C	YDR064W
YDR064W	YMR260C
YGL123W	YMR260C
YAL035W	YGL103W
YAL035W	YOL127W
YNL178W	YIL133C
YOR369C	YIL133C
YOL040C	YIL133C
YLR340W	YHR203C
YLR340W	YJR145C
YER025W	YPL237W
YGL103W	YBL027W
YGL103W	YBL092W
YGL103W	YDL136W
YGL103W	YDL191W
YGL103W	YER056C-A
YGL103W	YFR031C-A
YGL103W	YFR032C-A
YGL103W	YGL076C
YGL103W	YJL189W
YGL103W	YLR185W
YGL103W	YGL135W
YGL103W	YIL018W
YGL103W	YKL180W
YGL103W	YBR191W
YGL103W	YGL031C
YGL103W	YOL039W
YGL103W	YIL133C
YGL103W	YPL143W
YGL103W	YHR010W
YGL103W	YOL120C
YGL103W	YHR141C
YOL127W	YBL027W
YOL127W	YBL092W
YOL127W	YDL136W
YOL127W	YDL191W
YOL127W	YER056C-A
YOL127W	YFR031C-A
YOL127W	YFR032C-A
YOL127W	YGL076C
YOL127W	YGL135W
YOL127W	YIL018W
YOL127W	YJL189W
YOL127W	YKL180W
YOL127W	YLR185W
YOL127W	YBR031W
YOL127W	YBR191W
YOL127W	YGL031C
YOL127W	YHR010W
YOL127W	YIL133C
YOL127W	YOL039W
YOL127W	YPL143W
YOL127W	YBL087C
YOL127W	YBR084C-A
YOL127W	YDR012W
YOL127W	YLR344W
YBL027W	YOR063W
YBL027W	YDL191W
YBL027W	YDL136W
YBL027W	YLR185W
YBL027W	YDR418W
YBL027W	YER056C-A
YBL027W	YGL135W
YBL027W	YKL180W
YBL027W	YIL018W
YBL027W	YFR031C-A
YBL027W	YGL076C
YOR063W	YBL092W
YOR063W	YDL136W
YOR063W	YDL191W
YOR063W	YER056C-A
YOR063W	YFR032C-A
YOR063W	YGL135W
YOR063W	YIL018W
YOR063W	YJL189W
YOR063W	YLR185W
YOR063W	YBR191W
YOR063W	YHR010W
YOR063W	YOL039W
